,Расстояние,Кузов,Время загрузки,Время выгрузки,Цена,Откуда,Куда,Масса,Объем
102,242 км,ссвл.,постоянно по раб.дням,,,"Цемзавод, Ульяновская область","Комсомольский, Мордовия республика",21,30
103,275 км,тент. изотерм,постоянно ежедн.,,,"Ульяновск, гая 95","Кузнецк, Пензенская область",20,-
104,397 км,тент. изотерм,постоянно ежедн.,,,"Ульяновск, гая 95",Пенза,20,82
105,342 км,тент.,29 июн-4 июл,,,"Ясашная Ташла, Ульяновская область",Пенза,20,82
106,342 км,тент.,постоянно по раб.дням,,,"Ясашная Ташла, Ульяновская область",Пенза,20,82
107,383 км,тент.,постоянно по раб.дням,,,"Новоульяновск, Ульяновская область",Пенза,10,90
108,341 км,30 маш. ссвл. зерн.,постоянно ежедн.,,,Ульяновск,"Ковылкино, Мордовия республика",35,40
109,209 км,тент.,постоянно ежедн.,,,"Новоспасское, Ульяновская область",Пенза,19,60
110,397 км,тент. изотерм реф.,постоянно по раб.дням,,,Ульяновск,Пенза,20,82
111,275 км,закр. реф.,постоянно по раб.дням,,,Ульяновск,"Кузнецк, Пензенская область",20,82
112,209 км,тент. борт. шал. рамн. нпл. трал,постоянно по раб.дням 8:00-18:00,8:00-12:00,,"Новоспасское, Ульяновская область",Пенза,"8,5",-
113,397 км,тент. изотерм реф.,постоянно ежедн.,,"28 000 ₽;70,5₽/км",Ульяновск,Пенза,20,-
